,Model,Manufacturer,Base Clock(MHz),Turbo Clock(MHz),Cores,Threads,L2 Cache(KB),L3 Cache(KB),Process(nm),TDP(Watt),Days Old,3DMark06(score)
0,AMD Ryzen Threadripper PRO 7995WX,AMD,2500,5100,96,192,98304,393216,5,350,22,1000
1,AMD Ryzen Threadripper PRO 3995WX,AMD,2700,4200,64,128,32768,262144,7,280,1244,777
2,Intel Core i9-14900K,Intel,3200,6000,24,32,32768,36864,10,125,84,973
3,AMD Ryzen 9 7950X,AMD,4500,5700,16,32,16384,65536,0,170,410,985
4,Intel Core i9-13900K,Intel,3000,5800,24,32,32768,36864,10,125,446,944
5,AMD Ryzen 9 7950X3D,AMD,4200,5700,16,32,16384,131072,5,120,310,948
6,Intel Core i7-14700K,Intel,2500,5600,20,28,28672,33792,10,125,84,966
7,AMD Ryzen 9 7900X,AMD,4700,5600,12,24,12288,65536,5,170,440,996
8,Intel Core i7-13700K,Intel,3400,5400,16,24,24576,30720,10,125,469,848
9,AMD Ryzen Threadripper PRO 3975WX,AMD,3500,4200,32,64,16384,131072,7,280,1244,790
10,Intel Core i9-13980HX,Intel,1600,5600,24,32,32768,36864,10,55,370,923
11,Intel Core i9-13950HX,Intel,1600,5500,24,32,32768,36864,10,55,370,903
12,Intel Core i9-13900HX,Intel,1600,5400,24,32,32768,36864,10,55,370,842
13,AMD Ryzen 9 7900,AMD,3700,5400,12,24,12288,65536,5,65,360,909
14,Intel Core i9-12900K,Intel,3200,5200,16,24,14336,30720,10,125,795,876
15,Intel Core i5-14600K,Intel,3500,5300,14,20,20480,24576,10,125,84,845
16,AMD Ryzen 7 7700X,AMD,4500,5400,8,16,8192,32768,5,170,470,846
17,AMD Ryzen 7 7700,AMD,3800,5300,8,16,8192,32768,5,65,369,854
18,AMD Ryzen 9 5950X,AMD,3400,4900,16,32,8192,65536,7,105,1188,825
19,Intel Core i5-13600K,Intel,3500,5100,14,20,20480,24576,10,125,446,823
20,AMD Ryzen 7 7800X3D,AMD,4200,5000,8,16,1,98304,5,162,278,788
21,Intel Core i9-12900,Intel,2400,5100,16,24,14336,20480,10,65,735,815
22,Intel Core i7-13700,Intel,2100,5200,16,24,24576,30720,10,65,370,803
23,Intel Core i9-12900HX,Intel,1700,5000,16,24,14336,30720,10,55,609,825
24,AMD Ryzen Threadripper 2970WX,AMD,3000,4200,24,48,12288,65536,12,250,1898,514
25,Intel Core i7-13700HX,Intel,1500,5000,16,24,24576,30720,10,55,370,795
26,Intel Core i7-12700K,Intel,2700,5000,12,20,12288,25600,10,125,795,785
27,Intel Core i9-13900H,Intel,1900,5400,14,20,11776,24576,10,45,370,716
28,AMD Ryzen 9 5900X,AMD,3700,4800,12,24,6144,65536,7,105,1188,767
29,Intel Core i9-10980XE,Intel,3000,4600,18,36,18432,25395,14,165,1560,658
30,Intel Core i9-9980XE,Intel,3000,4400,18,36,18432,25395,14,165,1836,628
31,Intel Core i9-12900HK,Intel,1800,5000,14,20,11776,24576,10,45,735,782
32,Intel Core i9-12900H,Intel,1800,5000,14,20,11776,24576,10,45,735,595
33,Intel Core i7-13700H,Intel,1800,5000,14,20,11776,24576,10,45,370,719
34,Intel Core i5-13400F,Intel,2500,4600,10,16,9728,20480,10,65,370,651
35,Intel Core i5-13400,Intel,2500,4600,10,16,9728,20480,10,65,370,635
36,Intel Core i7-12700F,Intel,3300,4900,12,20,12288,25600,10,65,735,738
37,Intel Core i7-12700,Intel,3300,4900,12,20,12288,25600,10,65,735,718
38,Intel Core i5-12600K,Intel,2800,4900,10,16,9728,20480,10,125,795,733
39,AMD Ryzen 5 7600X,AMD,4700,5300,6,12,6144,32768,5,105,470,807
40,AMD Ryzen 5 7600,AMD,3800,5100,6,12,6144,32768,5,65,360,746
41,AMD Ryzen 9 7940HS,AMD,4000,5200,8,16,8192,16384,4,35,369,733
42,AMD Ryzen 7 7745HX,AMD,3600,5100,8,16,8192,32768,0,55,369,790
43,Intel Core i7-13650HX,Intel,1900,4900,14,20,0,24576,10,55,370,749
44,AMD Ryzen 7 7840HS,AMD,3800,5100,8,16,8192,16384,4,35,369,731
45,AMD Ryzen 7 7840S,AMD,3800,5100,8,16,8192,16384,4,35,369,678
46,AMD Ryzen 7 PRO 7840HS,AMD,3800,5100,8,16,8192,16384,4,35,210,688
47,Intel Core i5-13500HX,Intel,1800,4700,14,20,0,24576,10,55,370,680
48,AMD Ryzen 9 3900X,AMD,3800,4600,12,24,6144,65536,7,105,1647,694
49,Intel Core i7-13620H,Intel,1800,4900,10,16,9728,24576,10,45,370,635
50,Intel Core i7-12700H,Intel,1700,4700,14,20,11776,24576,10,45,735,654
51,AMD Ryzen 7 5800X3D,AMD,3400,4500,8,16,4096,98304,7,105,616,675
52,AMD Ryzen 7 5800X,AMD,3800,4700,8,16,4096,32768,7,105,1188,740
